mass,log_mass,year,reclat,reclong,fall,recclass
2.53,0.9282193027394288,2002,-84.21667,160.5,Found,H5
6.5,1.8718021769015913,1977,-76.71667,159.66667,Found,H5
1.47,0.3852624007906449,2004,35.08838,-116.75283,Found,L6
60.16,4.097007679641584,1979,-71.5,35.66667,Found,L6
96.0,4.564348191467836,2000,18.90415,54.70378,Found,H4-6
3.6,1.2809338454620642,1992,-76.03058,155.91015,Found,L6
38800.0,10.566175525611365,1898,34.25,-112.75,Found,"Iron, IVB"
118.5,4.774912960575186,2007,0.0,0.0,Found,R4
4.2,1.4350845252893227,1997,-84.0,168.0,Found,LL5
1.2,0.1823215567939546,1983,-76.82228,158.21366,Found,H5
1.18,0.16551443847757333,2006,-72.78333,75.29528,Found,L6 
6800.0,8.824677891164198,1954,42.63333,-114.83333,Found,L
36.0,3.58351893845611,2009,0.0,0.0,Found,Ureilite
40.91,3.711374531941307,1988,-72.0,26.0,Found,H4
0.98,-0.020202707317519466,2003,-72.773889,75.3425,Found,H5
5.9,1.7749523509116738,1986,-84.27385,161.68603,Found,H5
18.6,2.9231615807191558,1988,-84.24656,161.40563,Found,H6
97.8,4.582924577040772,1987,-84.36326,161.26607,Found,L6
374.5,5.925591802957274,2010,0.0,0.0,Found,L6
2392.0,7.779885115070522,2001,19.31528,54.51786,Found,H5
64.33,4.1640260854229085,2000,-79.68333,155.75,Found,L6
11.51,2.4432162227337915,1988,-72.0,26.0,Found,L6
13.69,2.6166656393003573,2003,-72.93417,75.32222,Found,H5
73.2,4.293195420967266,1999,-84.0,168.0,Found,LL5
2.6,0.9555114450274363,1988,-84.23741,161.49372,Found,H6
4.4,1.4816045409242156,1999,35.05847,-116.769,Found,H6
114.3,4.738826570800765,1990,-76.29193,156.35692,Found,L6
93.75,4.54063166485052,1987,-72.0,26.0,Found,H4
54.9,4.005513348515485,1977,-76.71667,159.66667,Found,L6
2.9,1.0647107369924282,2006,-72.99889,75.18722,Found,L5
2.7,0.9932517730102834,1991,-85.69865,-68.82044,Found,L6
